Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
HUACHANA MARTIN;ANIS 8 HNOS X 1L;1220;1600;31;1400;14,75;7792410505352;384;11/05/2023
CORDOBEZA;ANIS FEUDAL;94;120;28;620;10;7790163070356;67;11/05/2023
BARRICA BEBIDAS;APERITIVO APEROL X 750 CC;1650;2100;27;11400;15,15;7791200000527;938;11/05/2023
CORDOBEZA;APERITIVO CAMPARI  1 L;1766;2300;30;12100;14,19;7791200000640;379;11/05/2023
CORDOBEZA;APERITIVO CAMPARI X750CC;1308;1700;30;9000;14,68;7891136052000;59841;11/05/2023
BARRICA BEBIDAS;APERITIVO CARPANO BIANCO;150;500;233;1080;20;7790290008291;99;11/05/2023
HUACHANA MARTIN;APERITIVO CYNAR;1530,41;2000;31;1786;16,67;7791200000626;847;11/05/2023
BARRICA BEBIDAS;APERITIVO GANCIA + HIELERA ICEBOX;200;280;40;260;30;7790950115505;-8;11/05/2023
BARRICA BEBIDAS;APERITIVO GANCIA 1.25 L;850;1300;53;5900;15,69;7790950138870;287;11/05/2023
OSOLA;APERITIVO GANCIA 450 ML;216,16;280;30;2860;10,26;7790950000191;427;11/05/2023
OSOLA;APERITIVO GANCIA MARCELA 950 CC;133,33;190;43;920;15;7790950002768;61;11/05/2023
CORDOBEZA;APERITIVO GANCIA X950CC;841;1100;31;11500;13,95;7790950000160;98300;11/05/2023
OSOLA;APERITIVO MARTINI EXTRA DRY;1318;1700;29;9300;17,6;7790950134827;41;11/05/2023
SAN JUAN;APEROL;1650;2100;27;11400;15,15;7891136057029;217;11/05/2023
COCA COLA;AQUARIUS LIMONADA 1.5 L;376,33;450;20;2600;15,15;7790895008498;952;11/05/2023
